Movimientos,Performance,Suciedad,Agente
0,0,0.1,Agente 2x2
0,0,0.1,Agente 2x2
0,0,0.1,Agente 2x2
0,0,0.1,Agente 2x2
0,0,0.1,Agente 2x2
0,0,0.1,Agente 2x2
0,0,0.1,Agente 2x2
0,0,0.1,Agente 2x2
0,0,0.1,Agente 2x2
0,0,0.1,Agente 2x2
0,0,0.2,Agente 2x2
0,0,0.2,Agente 2x2
0,0,0.2,Agente 2x2
0,0,0.2,Agente 2x2
0,0,0.2,Agente 2x2
0,0,0.2,Agente 2x2
0,0,0.2,Agente 2x2
0,0,0.2,Agente 2x2
0,0,0.2,Agente 2x2
0,0,0.2,Agente 2x2
57,13,0.4,Agente 2x2
20,2,0.4,Agente 2x2
12,3,0.4,Agente 2x2
43,2,0.4,Agente 2x2
19,3,0.4,Agente 2x2
43,6,0.4,Agente 2x2
51,14,0.4,Agente 2x2
20,5,0.4,Agente 2x2
74,13,0.4,Agente 2x2
3,1,0.4,Agente 2x2
18,3,0.8,Agente 2x2
61,13,0.8,Agente 2x2
47,9,0.8,Agente 2x2
41,12,0.8,Agente 2x2
30,5,0.8,Agente 2x2
81,16,0.8,Agente 2x2
77,15,0.8,Agente 2x2
34,9,0.8,Agente 2x2
54,15,0.8,Agente 2x2
64,12,0.8,Agente 2x2
88,16,0.1,Agente 4x4
46,12,0.1,Agente 4x4
83,19,0.1,Agente 4x4
484,88,0.1,Agente 4x4
62,13,0.1,Agente 4x4
239,48,0.1,Agente 4x4
313,60,0.1,Agente 4x4
11,2,0.1,Agente 4x4
153,29,0.1,Agente 4x4
18,1,0.1,Agente 4x4
149,33,0.2,Agente 4x4
85,16,0.2,Agente 4x4
171,23,0.2,Agente 4x4
97,19,0.2,Agente 4x4
345,66,0.2,Agente 4x4
109,27,0.2,Agente 4x4
232,46,0.2,Agente 4x4
114,20,0.2,Agente 4x4
148,31,0.2,Agente 4x4
381,75,0.2,Agente 4x4
448,78,0.4,Agente 4x4
378,74,0.4,Agente 4x4
328,78,0.4,Agente 4x4
182,37,0.4,Agente 4x4
190,33,0.4,Agente 4x4
327,73,0.4,Agente 4x4
152,27,0.4,Agente 4x4
