Movimientos,Performance,Suciedad,Agente
17,1,0.1,Agente 2x2
9,1,0.1,Agente 2x2
12,1,0.1,Agente 2x2
33,1,0.1,Agente 2x2
5,1,0.1,Agente 2x2
22,1,0.1,Agente 2x2
65,1,0.1,Agente 2x2
16,1,0.1,Agente 2x2
16,1,0.1,Agente 2x2
89,1,0.1,Agente 2x2
1,1,0.2,Agente 2x2
5,1,0.2,Agente 2x2
14,1,0.2,Agente 2x2
33,1,0.2,Agente 2x2
22,1,0.2,Agente 2x2
6,1,0.2,Agente 2x2
46,1,0.2,Agente 2x2
42,1,0.2,Agente 2x2
22,1,0.2,Agente 2x2
1,1,0.2,Agente 2x2
46,2,0.4,Agente 2x2
33,2,0.4,Agente 2x2
38,2,0.4,Agente 2x2
40,2,0.4,Agente 2x2
54,2,0.4,Agente 2x2
62,2,0.4,Agente 2x2
29,2,0.4,Agente 2x2
7,1,0.4,Agente 2x2
36,2,0.4,Agente 2x2
69,2,0.4,Agente 2x2
20,3,0.8,Agente 2x2
58,2,0.8,Agente 2x2
86,3,0.8,Agente 2x2
50,3,0.8,Agente 2x2
39,2,0.8,Agente 2x2
30,3,0.8,Agente 2x2
17,3,0.8,Agente 2x2
26,2,0.8,Agente 2x2
33,3,0.8,Agente 2x2
17,2,0.8,Agente 2x2
162,2,0.1,Agente 4x4
184,2,0.1,Agente 4x4
57,2,0.1,Agente 4x4
257,2,0.1,Agente 4x4
110,2,0.1,Agente 4x4
47,2,0.1,Agente 4x4
137,2,0.1,Agente 4x4
460,2,0.1,Agente 4x4
365,2,0.1,Agente 4x4
33,2,0.1,Agente 4x4
137,3,0.2,Agente 4x4
259,4,0.2,Agente 4x4
830,4,0.2,Agente 4x4
207,4,0.2,Agente 4x4
282,4,0.2,Agente 4x4
55,4,0.2,Agente 4x4
127,4,0.2,Agente 4x4
253,4,0.2,Agente 4x4
173,3,0.2,Agente 4x4
212,4,0.2,Agente 4x4
216,7,0.4,Agente 4x4
181,5,0.4,Agente 4x4
111,5,0.4,Agente 4x4
323,6,0.4,Agente 4x4
653,7,0.4,Agente 4x4
200,5,0.4,Agente 4x4
423,7,0.4,Agente 4x4
190,5,0.4,Agente 4x4
361,6,0.4,Agente 4x4
425,5,0.4,Agente 4x4
843,10,0.8,Agente 4x4
208,10,0.8,Agente 4x4
335,9,0.8,Agente 4x4
237,8,0.8,Agente 4x4
166,8,0.8,Agente 4x4
219,9,0.8,Agente 4x4
669,8,0.8,Agente 4x4
436,9,0.8,Agente 4x4
255,9,0.8,Agente 4x4
286,9,0.8,Agente 4x4
1000,4,0.1,Agente 8x8
1000,6,0.1,Agente 8x8
651,7,0.1,Agente 8x8
1000,5,0.1,Agente 8x8
1000,5,0.1,Agente 8x8
1000,4,0.1,Agente 8x8
761,7,0.1,Agente 8x8
1000,5,0.1,Agente 8x8
1000,4,0.1,Agente 8x8
1000,5,0.1,Agente 8x8
1000,8,0.2,Agente 8x8
1000,11,0.2,Agente 8x8
811,11,0.2,Agente 8x8
1000,10,0.2,Agente 8x8
1000,10,0.2,Agente 8x8
1000,10,0.2,Agente 8x8
1000,9,0.2,Agente 8x8
1000,8,0.2,Agente 8x8
1000,10,0.2,Agente 8x8
1000,10,0.2,Agente 8x8
1000,17,0.4,Agente 8x8
1000,18,0.4,Agente 8x8
1000,17,0.4,Agente 8x8
1000,15,0.4,Agente 8x8
1000,16,0.4,Agente 8x8
1000,17,0.4,Agente 8x8
1000,19,0.4,Agente 8x8
1000,16,0.4,Agente 8x8
1000,21,0.4,Agente 8x8
967,22,0.4,Agente 8x8
1000,35,0.8,Agente 8x8
1000,27,0.8,Agente 8x8
1000,32,0.8,Agente 8x8
1000,31,0.8,Agente 8x8
1000,31,0.8,Agente 8x8
1000,25,0.8,Agente 8x8
1000,32,0.8,Agente 8x8
1000,33,0.8,Agente 8x8
