Movimientos,Performance,Suciedad,Agente
2,1,0.1,Agente 2x2
4,1,0.1,Agente 2x2
22,1,0.1,Agente 2x2
9,1,0.1,Agente 2x2
5,1,0.1,Agente 2x2
6,1,0.1,Agente 2x2
7,1,0.1,Agente 2x2
5,1,0.1,Agente 2x2
8,1,0.1,Agente 2x2
19,1,0.1,Agente 2x2
2,1,0.2,Agente 2x2
11,1,0.2,Agente 2x2
15,1,0.2,Agente 2x2
6,1,0.2,Agente 2x2
9,1,0.2,Agente 2x2
2,1,0.2,Agente 2x2
13,1,0.2,Agente 2x2
3,1,0.2,Agente 2x2
15,1,0.2,Agente 2x2
2,1,0.2,Agente 2x2
10,2,0.4,Agente 2x2
10,2,0.4,Agente 2x2
13,2,0.4,Agente 2x2
17,2,0.4,Agente 2x2
8,2,0.4,Agente 2x2
6,2,0.4,Agente 2x2
7,2,0.4,Agente 2x2
12,1,0.4,Agente 2x2
6,2,0.4,Agente 2x2
7,2,0.4,Agente 2x2
10,3,0.8,Agente 2x2
4,2,0.8,Agente 2x2
12,3,0.8,Agente 2x2
7,3,0.8,Agente 2x2
17,2,0.8,Agente 2x2
13,3,0.8,Agente 2x2
12,3,0.8,Agente 2x2
6,2,0.8,Agente 2x2
13,3,0.8,Agente 2x2
5,2,0.8,Agente 2x2
78,2,0.1,Agente 4x4
11,2,0.1,Agente 4x4
17,2,0.1,Agente 4x4
51,2,0.1,Agente 4x4
102,2,0.1,Agente 4x4
10,2,0.1,Agente 4x4
73,2,0.1,Agente 4x4
67,2,0.1,Agente 4x4
24,2,0.1,Agente 4x4
79,2,0.1,Agente 4x4
25,3,0.2,Agente 4x4
23,4,0.2,Agente 4x4
66,4,0.2,Agente 4x4
142,4,0.2,Agente 4x4
49,4,0.2,Agente 4x4
47,4,0.2,Agente 4x4
66,4,0.2,Agente 4x4
37,4,0.2,Agente 4x4
31,3,0.2,Agente 4x4
66,4,0.2,Agente 4x4
75,7,0.4,Agente 4x4
76,5,0.4,Agente 4x4
216,5,0.4,Agente 4x4
103,6,0.4,Agente 4x4
220,7,0.4,Agente 4x4
89,5,0.4,Agente 4x4
159,7,0.4,Agente 4x4
39,5,0.4,Agente 4x4
68,6,0.4,Agente 4x4
105,5,0.4,Agente 4x4
228,10,0.8,Agente 4x4
80,10,0.8,Agente 4x4
41,9,0.8,Agente 4x4
61,8,0.8,Agente 4x4
104,8,0.8,Agente 4x4
159,9,0.8,Agente 4x4
116,8,0.8,Agente 4x4
65,9,0.8,Agente 4x4
83,9,0.8,Agente 4x4
133,9,0.8,Agente 4x4
450,7,0.1,Agente 8x8
251,7,0.1,Agente 8x8
764,7,0.1,Agente 8x8
414,6,0.1,Agente 8x8
345,6,0.1,Agente 8x8
348,6,0.1,Agente 8x8
474,7,0.1,Agente 8x8
394,7,0.1,Agente 8x8
276,7,0.1,Agente 8x8
1000,6,0.1,Agente 8x8
329,10,0.2,Agente 8x8
306,13,0.2,Agente 8x8
617,11,0.2,Agente 8x8
1000,10,0.2,Agente 8x8
498,11,0.2,Agente 8x8
541,11,0.2,Agente 8x8
848,10,0.2,Agente 8x8
483,13,0.2,Agente 8x8
280,12,0.2,Agente 8x8
811,11,0.2,Agente 8x8
722,20,0.4,Agente 8x8
508,22,0.4,Agente 8x8
445,22,0.4,Agente 8x8
1000,18,0.4,Agente 8x8
772,19,0.4,Agente 8x8
352,18,0.4,Agente 8x8
700,21,0.4,Agente 8x8
409,21,0.4,Agente 8x8
376,22,0.4,Agente 8x8
1000,21,0.4,Agente 8x8
1000,35,0.8,Agente 8x8
304,30,0.8,Agente 8x8
470,37,0.8,Agente 8x8
494,36,0.8,Agente 8x8
467,33,0.8,Agente 8x8
1000,32,0.8,Agente 8x8
784,36,0.8,Agente 8x8
586,36,0.8,Agente 8x8
849,36,0.8,Agente 8x8
968,32,0.8,Agente 8x8
1000,12,0.1,Agente 16x16
1000,15,0.1,Agente 16x16
1000,13,0.1,Agente 16x16
1000,16,0.1,Agente 16x16
1000,18,0.1,Agente 16x16
1000,20,0.1,Agente 16x16
1000,22,0.1,Agente 16x16
1000,20,0.1,Agente 16x16
1000,16,0.1,Agente 16x16
1000,17,0.1,Agente 16x16
1000,28,0.2,Agente 16x16
1000,42,0.2,Agente 16x16
1000,35,0.2,Agente 16x16
1000,42,0.2,Agente 16x16
1000,24,0.2,Agente 16x16
1000,37,0.2,Agente 16x16
1000,37,0.2,Agente 16x16
1000,32,0.2,Agente 16x16
1000,24,0.2,Agente 16x16
1000,39,0.2,Agente 16x16
1000,45,0.4,Agente 16x16
1000,61,0.4,Agente 16x16
1000,77,0.4,Agente 16x16
1000,62,0.4,Agente 16x16
1000,60,0.4,Agente 16x16
1000,65,0.4,Agente 16x16
1000,48,0.4,Agente 16x16
1000,58,0.4,Agente 16x16
1000,70,0.4,Agente 16x16
1000,65,0.4,Agente 16x16
1000,123,0.8,Agente 16x16
1000,64,0.8,Agente 16x16
1000,95,0.8,Agente 16x16
1000,102,0.8,Agente 16x16
1000,106,0.8,Agente 16x16
1000,102,0.8,Agente 16x16
1000,79,0.8,Agente 16x16
1000,82,0.8,Agente 16x16
1000,89,0.8,Agente 16x16
1000,112,0.8,Agente 16x16
1000,23,0.1,Agente 32x32
