Algorithm,evn_n,states,cost_e1,cost_e2,time,solution_found
BFS,0,755,24,72,0.004013776779174805,True
DFS,0,8895,186,639,0.13336706161499023,True
DFS Limit 10,0,127,0,0,0.0010001659393310547,False
UCS,0,1781,24,72,0.006995439529418945,True
Random Walk,0,1000,1000,2524,0.002000570297241211,False
A*,0,593,24,72,0.0,True
BFS,1,3305,54,150,0.017871618270874023,True
DFS,1,1339,532,1727,0.013002395629882812,True
DFS Limit 10,1,131,0,0,0.0,False
UCS,1,10078,54,150,0.04600977897644043,True
Random Walk,1,1000,1000,2465,0.003000497817993164,False
A*,1,2594,54,150,0.0,True
BFS,2,831,30,48,0.00400090217590332,True
DFS,2,1217,1092,3597,0.03200721740722656,True
DFS Limit 10,2,84,0,0,0.0,False
UCS,2,1048,30,48,0.0050008296966552734,True
Random Walk,2,1000,1000,2500,0.0020003318786621094,False
A*,2,307,30,48,0.0,True
BFS,3,5006,62,170,0.039855241775512695,True
DFS,3,3848,1098,3632,0.1344773769378662,True
DFS Limit 10,3,138,0,0,0.0,False
UCS,3,8658,62,170,0.03793644905090332,True
Random Walk,3,1000,1000,2486,0.002000570297241211,False
A*,3,3380,62,170,0.0,True
BFS,4,6492,96,216,0.03464102745056152,True
DFS,4,6227,2046,6705,0.20958542823791504,True
DFS Limit 10,4,120,0,0,0.0010001659393310547,False
UCS,4,9783,96,216,0.04500985145568848,True
Random Walk,4,1000,1000,2437,0.0020008087158203125,False
A*,4,4623,96,216,0.0,True
BFS,5,3075,42,151,0.015003442764282227,True
DFS,5,9174,42,151,0.1470329761505127,True
DFS Limit 10,5,121,0,0,0.0,False
UCS,5,9296,42,151,0.056012630462646484,True
Random Walk,5,1000,1000,2470,0.003000497817993164,False
A*,5,2938,42,151,0.0,True
BFS,6,5778,80,236,0.029006481170654297,True
DFS,6,777,760,2572,0.015003442764282227,True
DFS Limit 10,6,127,0,0,0.0010001659393310547,False
UCS,6,11077,80,236,0.0490109920501709,True
Random Walk,6,1000,1000,2500,0.002000570297241211,False
A*,6,4684,80,236,0.0010004043579101562,True
BFS,7,157,10,16,0.0010006427764892578,True
DFS,7,8298,672,2209,0.2599034309387207,True
DFS Limit 10,7,116,0,0,0.0010001659393310547,False
