Algorithm,N,Solution Cost,States/Generations,Time
Hill Climbing,4,1,10000,0.09764313697814941
Hill Climbing,4,0,12,0.0
Hill Climbing,4,1,10000,0.09714937210083008
Hill Climbing,4,1,10000,0.09754014015197754
Hill Climbing,4,0,10,0.000997781753540039
Hill Climbing,4,1,10000,0.09646940231323242
Hill Climbing,4,0,3,0.0010330677032470703
Hill Climbing,4,2,10000,0.09568905830383301
Hill Climbing,4,1,10000,0.09687924385070801
Hill Climbing,4,0,36,0.0
Hill Climbing,4,1,10000,0.09740662574768066
Hill Climbing,4,1,10000,0.09859919548034668
Hill Climbing,4,1,10000,0.09852194786071777
Hill Climbing,4,1,10000,0.09677720069885254
Hill Climbing,4,1,10000,0.1003425121307373
Hill Climbing,4,1,10000,0.0980679988861084
Hill Climbing,4,0,1,0.0
Hill Climbing,4,0,10,0.0
Hill Climbing,4,0,17,0.0
Hill Climbing,4,1,10000,0.09911084175109863
Hill Climbing,4,0,9,0.0009992122650146484
Hill Climbing,4,1,10000,0.11343026161193848
Hill Climbing,4,0,10,0.0
Hill Climbing,4,1,10000,0.10298609733581543
Hill Climbing,4,1,10000,0.09995460510253906
Hill Climbing,4,0,27,0.0009999275207519531
Hill Climbing,4,1,10000,0.10067915916442871
Hill Climbing,4,0,17,0.0
Hill Climbing,4,0,8,0.0
Hill Climbing,4,2,10000,0.0972127914428711
Simulated Annealing,4,0,170,0.001998424530029297
Simulated Annealing,4,0,456,0.004986286163330078
Simulated Annealing,4,0,185,0.0025033950805664062
Simulated Annealing,4,0,34,0.001007080078125
Simulated Annealing,4,0,8,0.0
Simulated Annealing,4,0,10,0.0
Simulated Annealing,4,0,79,0.0009975433349609375
Simulated Annealing,4,0,157,0.000997304916381836
Simulated Annealing,4,0,51,0.000997304916381836
Simulated Annealing,4,0,88,0.000997304916381836
Simulated Annealing,4,0,178,0.001994609832763672
Simulated Annealing,4,0,46,0.000997304916381836
Simulated Annealing,4,0,17,0.0
Simulated Annealing,4,0,131,0.0019948482513427734
Simulated Annealing,4,0,586,0.006577014923095703
Simulated Annealing,4,0,23,0.0
Simulated Annealing,4,0,19,0.0
Simulated Annealing,4,0,48,0.0009965896606445312
Simulated Annealing,4,0,72,0.0009982585906982422
Simulated Annealing,4,0,53,0.0
Simulated Annealing,4,0,47,0.0
Simulated Annealing,4,0,77,0.0015060901641845703
Simulated Annealing,4,0,93,0.002004861831665039
Simulated Annealing,4,0,130,0.0019936561584472656
Simulated Annealing,4,0,61,0.0
Simulated Annealing,4,0,182,0.002991914749145508
Simulated Annealing,4,0,293,0.0034949779510498047
Simulated Annealing,4,0,64,0.0
Simulated Annealing,4,0,30,0.0
Simulated Annealing,4,0,11,0.0
Genetic Algorithm,4,0,1,0.002417325973510742
Genetic Algorithm,4,0,0,0.0009970664978027344
Genetic Algorithm,4,0,0,0.0
Genetic Algorithm,4,0,0,0.000997781753540039
Genetic Algorithm,4,0,1,0.0009970664978027344
Genetic Algorithm,4,0,0,0.0009970664978027344
Genetic Algorithm,4,0,0,0.000997781753540039
Genetic Algorithm,4,0,2,0.0020210742950439453
Genetic Algorithm,4,0,10,0.010531425476074219
Genetic Algorithm,4,0,6,0.007437705993652344
Genetic Algorithm,4,0,1,0.000997304916381836
Genetic Algorithm,4,0,0,0.000997304916381836
Genetic Algorithm,4,0,2,0.002501964569091797
Genetic Algorithm,4,0,0,0.0
Genetic Algorithm,4,0,2,0.002992391586303711
Genetic Algorithm,4,0,0,0.0
Genetic Algorithm,4,0,0,0.0009975433349609375
Genetic Algorithm,4,0,0,0.0
Genetic Algorithm,4,0,0,0.0
Genetic Algorithm,4,0,0,0.0009970664978027344
Genetic Algorithm,4,0,2,0.002513885498046875
Genetic Algorithm,4,0,1,0.0009970664978027344
Genetic Algorithm,4,0,1,0.0019948482513427734
Genetic Algorithm,4,0,1,0.000997304916381836
Genetic Algorithm,4,0,1,0.0019943714141845703
Genetic Algorithm,4,0,0,0.000997781753540039
Genetic Algorithm,4,0,1,0.0009968280792236328
Genetic Algorithm,4,0,2,0.0030434131622314453
Genetic Algorithm,4,0,0,0.0
Genetic Algorithm,4,0,2,0.0029914379119873047
Hill Climbing,8,3,10000,0.20903682708740234
Hill Climbing,8,1,10000,0.20698785781860352
Hill Climbing,8,2,10000,0.19248723983764648
Hill Climbing,8,2,10000,0.1918492317199707
Hill Climbing,8,2,10000,0.19481515884399414
Hill Climbing,8,0,50,0.0010085105895996094
Hill Climbing,8,1,10000,0.19159483909606934
Hill Climbing,8,2,10000,0.18885540962219238
Hill Climbing,8,2,10000,0.18944859504699707
Hill Climbing,8,2,10000,0.19575834274291992
Hill Climbing,8,3,10000,0.1940000057220459
Hill Climbing,8,2,10000,0.2031412124633789
Hill Climbing,8,0,117,0.003988742828369141
Hill Climbing,8,2,10000,0.20106124877929688
Hill Climbing,8,2,10000,0.18848919868469238
Hill Climbing,8,1,10000,0.19055867195129395
Hill Climbing,8,0,101,0.001994609832763672
Hill Climbing,8,1,10000,0.18898868560791016
Hill Climbing,8,1,10000,0.1910257339477539
Hill Climbing,8,1,10000,0.19043970108032227
Hill Climbing,8,3,10000,0.18927383422851562
Hill Climbing,8,1,10000,0.19190502166748047
Hill Climbing,8,2,10000,0.19090509414672852
Hill Climbing,8,0,150,0.0029921531677246094
Hill Climbing,8,2,10000,0.1880497932434082
Hill Climbing,8,1,10000,0.19035053253173828
Hill Climbing,8,2,10000,0.19137191772460938
Hill Climbing,8,0,123,0.0019943714141845703
Hill Climbing,8,2,10000,0.1909189224243164
Hill Climbing,8,1,10000,0.19164776802062988
Simulated Annealing,8,0,2040,0.04311871528625488
Simulated Annealing,8,0,2297,0.04848027229309082
Simulated Annealing,8,0,3697,0.08005070686340332
Simulated Annealing,8,0,3106,0.06699776649475098
Simulated Annealing,8,0,2401,0.050498247146606445
Simulated Annealing,8,0,2093,0.04375457763671875
Simulated Annealing,8,0,1954,0.040429115295410156
Simulated Annealing,8,0,2869,0.06092381477355957
Simulated Annealing,8,0,2207,0.04667258262634277
Simulated Annealing,8,0,2347,0.05005168914794922
Simulated Annealing,8,0,3707,0.07885956764221191
Simulated Annealing,8,0,2484,0.052773237228393555
Simulated Annealing,8,0,2665,0.05645132064819336
Simulated Annealing,8,0,1907,0.0387728214263916
Simulated Annealing,8,0,2740,0.058489084243774414
Simulated Annealing,8,0,2256,0.05061697959899902
Simulated Annealing,8,0,2040,0.0414125919342041
Simulated Annealing,8,0,2109,0.045198678970336914
Simulated Annealing,8,0,2896,0.06192922592163086
Simulated Annealing,8,0,2167,0.045166015625
Simulated Annealing,8,0,2483,0.052951812744140625
Simulated Annealing,8,0,2231,0.04848670959472656
Simulated Annealing,8,0,4317,0.0944523811340332
Simulated Annealing,8,0,1767,0.03995943069458008
Simulated Annealing,8,0,2110,0.05248665809631348
Simulated Annealing,8,0,2369,0.04945731163024902
Simulated Annealing,8,0,2404,0.0514979362487793
Simulated Annealing,8,0,2832,0.05995488166809082
Simulated Annealing,8,0,2666,0.055109500885009766
Simulated Annealing,8,0,2667,0.05726933479309082
Genetic Algorithm,8,1,1000,1.6028497219085693
Genetic Algorithm,8,0,271,0.5021049976348877
Genetic Algorithm,8,1,1000,1.6105823516845703
Genetic Algorithm,8,0,431,0.6994154453277588
Genetic Algorithm,8,0,29,0.04858684539794922
Genetic Algorithm,8,0,73,0.11661171913146973
Genetic Algorithm,8,0,10,0.017548084259033203
Genetic Algorithm,8,0,76,0.12360215187072754
Genetic Algorithm,8,0,11,0.019581079483032227
Genetic Algorithm,8,0,52,0.08403563499450684
Genetic Algorithm,8,1,1000,1.610762596130371
Genetic Algorithm,8,0,2,0.004496574401855469
Genetic Algorithm,8,0,19,0.03156542778015137
Genetic Algorithm,8,0,11,0.018032550811767578
Genetic Algorithm,8,0,7,0.013066291809082031
Genetic Algorithm,8,0,8,0.013472557067871094
Genetic Algorithm,8,1,1000,1.6004173755645752
Genetic Algorithm,8,1,1000,1.6114747524261475
Genetic Algorithm,8,1,1000,1.6045196056365967
Genetic Algorithm,8,0,109,0.17512130737304688
Genetic Algorithm,8,0,6,0.011026144027709961
Genetic Algorithm,8,0,4,0.0069811344146728516
Genetic Algorithm,8,1,1000,1.6770780086517334
Genetic Algorithm,8,0,21,0.035021066665649414
Genetic Algorithm,8,1,1000,1.6145660877227783
Genetic Algorithm,8,0,9,0.015137672424316406
Genetic Algorithm,8,0,23,0.037779808044433594
Genetic Algorithm,8,0,22,0.035301923751831055
Genetic Algorithm,8,0,5,0.009451627731323242
Genetic Algorithm,8,1,1000,1.6137454509735107
Hill Climbing,10,1,10000,0.35375070571899414
Hill Climbing,10,1,10000,0.2675745487213135
Hill Climbing,10,2,10000,0.2660093307495117
Hill Climbing,10,1,10000,0.2672088146209717
Hill Climbing,10,0,103,0.003309011459350586
